T_name,T_url,Name,Link,Headline
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Bobby Orbach,,Trustee - Kama Fund
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Kevin McKean,,Senior Advisor - DataNeutrality.org
Chip Hazard,https://www.linkedin.com/in/chiphazard/,David Blumberg,,Managing Partner - Blumberg Capital
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Andrew Burton,,COO - Rapid7
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Bonnie Halper,,Cofounder - Silicon Alley Cats
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Greg Dunne,,CEO - Mansfield Sales Partners
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Amit Kanodia,, - 
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Rajeev Surati,,Chairman and Founder - Scalable Display Technologies
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Dan Katcher,,CEO and Founder - Rocket Farm Studios
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Benjamin Xu,,Chairman and Founding Managing Partner - XCapital Management
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Mark Drummond,,Advanced Product Development - Apple
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Tim McAdam,,Board Member - FinancialForce.com
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Todd Burger,,Managing Director - Crackerjack Consultants
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Chris Dunn,,Chief Executive Officer & Co-Founder - United Surf Brands
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Tava Miyata,,Owner - Wayne Miyata Surfboards
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Brad Lyon,,Regional Manager - CA Technologies
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Timothy Rowe,,Founder and CEO - Cambridge Innovation Center (CIC)
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Raj Atluru,,Managing Director - Element Partners LLC
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Charles Manuel,,"Managing Director - Black Point Partners, Inc."
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Alan Osman,,"UX Workflow Consultant & Partner - seed2A, LLC"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Dave Zinman,,Chief Operating Officer - RadiumOne
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Peter Chu,,"VP, Strategy and Product Management - BroadVision"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Neal Prescott,,Global Chief Technology Officer - MRM//McCann
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Mohanjit Jolly,,Partner - Iron Pillar
Chip Hazard,https://www.linkedin.com/in/chiphazard/,James Tauber,,"CEO, CTO and Co-Founder - Eldarion"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Steve Abbott,,"Managing Director - Sapphire Ventures, LLC"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Paul English,,CEO and Co-founder - Lola
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Landon Pollack,,Managing Partner - Ignite Venture Partners
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Thomas Ream,,"Partner - David Powell, Inc Financial Services Division"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Bill Sheehan,,"Sr. Director, Business Development, Strategic Ecosystem and Platform Innovation - SAP"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Hendrik Susanto,,Chief Executive Officer - Ancora Capital Management Pte Ltd
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Christy Jones,,Governing Board of Trustees - Pacific Northwest Ballet
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Cindy Cheatham,,President - Good Advisors LLC
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Geoff Yang,,Board Member - Franklin Templeton Investments
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Aaron Day,,Chairman - A New Day for New Hampshire
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Sanjay Jhawar,,"Co-Founder, President & Chief Product Officer - RealWear, Inc."
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Karin Klein,,Founding Partner - Bloomberg Beta
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Tim Chang,,Partner - Mayfield Fund
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Anne Myong,,Chief Financial Officer - Walmart Global eCommerce
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Steve Brand,,Founder & CEO - Sidecastr
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Jill Shah,,Problem Solver - Shah Family Foundation
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Thomas Tague,,Senior Advisory Consultant - POC Development - Private Research Organization (Confidential)
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Tom Kelly,,"Founder, Managing Director - Iona Capital Advisors"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Jarrett Collins,,Director of University Operations - University of Global Health Equity
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Michael Taylor Alvarez,,GM - FearlessRhino.com
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Matt Cohen,,Founder & President - OneSpot
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Eugene Kuznetsov,,"VP Product, IoT Cloud & Thunder - Salesforce"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Shishir Mehrotra,,Founder - TBD
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Giles McNamee,,"Founder, Managing Director and President - CTBNL, Inc."
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Larry Cheng,,Managing Partner and Co-Founder - Volition Capital
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Adam Boehler,,Chief Executive Officer - Landmark Health
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Dave Tabors,,Senior Advisor - Battery Ventures
Chip Hazard,https://www.linkedin.com/in/chiphazard/,David Cancel,,CEO - Drift
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Michael Brown,,General Partner - Battery Ventures
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Cliff Haigler,,"Chief Financial Officer - Crown Health Care Laundry Services, Inc."
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Vishal Vasishth,,Managing Director - Obvious Ventures
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Rich Miner,,Engineering Director - Google
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Tim Guleri,,Managing Director - Sierra Ventures
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Jean-Yves Lagarde,,VP Digitized Field Services - EcoStruxure Asset Advisor GM - Internal IoT start-up - Schneider Electric
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Ross Mason,,Fund Advisor - SignalFire
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Jeff Scheinrock,,"Faculty Director, Applied Management Research (AMR) Program - UCLA Anderson School of Management"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Mike O'Hanlon,,VP Corporate and Business Development - Wayfair
Chip Hazard,https://www.linkedin.com/in/chiphazard/,David Sze,,Board Member - Nextdoor.com
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Jason Gracilieri,,Founder - TurningArt
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Stewart Alsop,,Partner - Alsop Louie Partners
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Ashok Santhanam,,"Cofounder, CEO - FogLogic"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Rob Panoff,,Board Member - FirstWorks
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Andrew Payne,,"Co-Founder, VP/Technology - Open Market"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Bryan Koontz,,CEO - CBANC Network
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Karl Waldman,,SVP Worldwide Customer Operations - Retail Solutions Inc.
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Duane Tharp,,VP - Stoplight.io
Chip Hazard,https://www.linkedin.com/in/chiphazard/,John Price,,CEO - Vast.com
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Tripp Micou,,"Founder, CEO - Practical Computer Applications, Inc."
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Henrik Jones,,General Partner - Buckhill Capital LP
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Chris Yang,,Managing Partner - Grove Street Advisors
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Hemant Taneja,,Managing Director - General Catalyst
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Mike MacKeen,,President - Westport Equity Partners
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Jong Min Han,,Founding Managing Partner - Private Equity Investor in NYC and China
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Marcus Ruark,,Vice President of Customer Success - Fluence Bioengineering
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Cesar Brea,,Partner - Bain & Company
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Simanta Chakraborty,,"Regional Director, North America -- West - ThoughtSpot"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Virginia Breen,,Trustee - Neuberger Berman
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Indu Navar,,Co-founder & CEO - geek.ly
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Scott Ryles,,Chief Operating Officer - Kleiner Perkins Caufield & Byers
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Michael Baker,,President & CEO - DataXu
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Antony Francis,,CEO - PRC Industries
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Tom Summit,,Talent Promotion Consultant for Robin Powered - Catalyst Recruiting
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Matt Hall,,CEO - Human Care Systems
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Clyde Logue,,Vice President Sales and Marketing - Trovo
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Adam Caper,,founder / ceo - dineoutwith.us
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Judith Hurwitz,,President & CEO - Hurwitz & Associates LLC
Chip Hazard,https://www.linkedin.com/in/chiphazard/,George Kassabgi,,EVP Product - Seniorlink
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Rodger Desai,,"CEO - Payfone, Inc."
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Richard de Silva,,"Managing Partner - Lateral Investment Management, LLC"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,David Feldman,,Managing Director - Feldman Advisors
Chip Hazard,https://www.linkedin.com/in/chiphazard/,John Shagoury,,President & CEO - Eliza Corporation
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Jeff Fagnan,,Board Member - Freshbooks
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Jim Zucco,,Partner - Cloquet Capital Partners
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Devendra Deshmukh,,"Executive Director, MRL Global Research IT - Merck"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Matt Crowley,,CEO - Vesper MEMS
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Ho Nam,,Managing Director - Altos Ventures
Chip Hazard,https://www.linkedin.com/in/chiphazard/,David Fowler,,VP - INetU Managed Hosting
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Thomas Fredell,,Chief Product Officer - Merrill Corporation
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Russell Kern,,"Managing Director, Marketing Partnerships - The New York Times"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Doug Bernstein,,"Founder - Bernstein Law Group, P.C."
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Murray Mazer,,Global Head of Innovation and Research - Amadeus IT Group
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Jim O'Toole,,CTO - SightPath
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Pete Jenney,,CTO - Medicine On Time
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Bill Wittenberg,,CEO and Co-Founder - Humongous Media
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Salvatore Tirabassi,,Chief Financial Officer - Strategic Financial Solutions NY
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Randy Prager,,CTO - FIX Flyer
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Ben Gordon,,Managing Partner - Cambridge Capital LLC
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Mike Daoust,,"Global Sales Director, Android & Chrome Enterprise - Google"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Cristina Dolan,,Founding Partner - insideCHAINS
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Marc Dupre,,Partner - Gunderson Dettmer
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Sanji Fernando,,"Vice President, OptumLabs Center for Applied Data Science - UnitedHealth Group"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Matt Carbonara,,"Investor - Uptycs, Inc."
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Raju Rishi,,General Partner - RRE Ventures
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Carl Hoffman,,Founder & CEO - Basis Technology Corp.
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Rob Held,,"Regional Director, Americas - Palladium: Make It Possible"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Scott Bradley,,CEO - Co-Founder - FootSizer
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Dwayne Nesmith,,CEO - Merita Consulting
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Bruce Ferland,,"President & CEO - SymBioSys, Inc."
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Scott Lehr,,"Co-Founder, CEO - The Underground Group"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Ross Lukatsevich,,Senior Advisor - LetterOne
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Mark Organ,,CEO and Founder - Influitive
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Motti Vaknin,,Partner - Cedar Fund
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Jim Ricotta,,COO - Foodler
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Julio Estrada,,Innovation Coder - Microsoft
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Dan O'Connor,,"Managing Partner - Matlin Partners, LLC"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Reed Sturtevant,,General Partner - The Engine
Chip Hazard,https://www.linkedin.com/in/chiphazard/,John Landry,,Bio - John Landry
Chip Hazard,https://www.linkedin.com/in/chiphazard/,David Boloker,,CTO Emerging Technology - IBM Corporation
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Jon Lemelman,,General Partner - Riverside Partners LLC
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Deepak Taneja,,Member Board Of Directors - ObserveIT - Identify & Eliminate Insider Threat
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Molly Blaauw Gillis,,Principal - General Catalyst Partners
Chip Hazard,https://www.linkedin.com/in/chiphazard/,John Federman,,CEO - Webcollage
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Ben Levitan,,Member of the Board of Trustees - Spaulding Rehabilitation Hospital/Partners Continuing Care
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Simeon Simeonov,,Founder & CTO - Swoop
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Ajay Agarwal,,Managing Director - Bain Capital Ventures
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Alok Agrawal,,"Founder, Managing Director - Bloom Tree Partners (a Tiger seed fund)"
